from,to,weight
BR-ADMIEXJRE01P,Unscanned-Device,152
BR-ADMIEXJRE01P,Unscanned-Device,837
BR-ADMIEXJRE01P,Unscanned-Device,9
BR-ADMIEXJRE01P,Unscanned-Device,2
BR-ADMIEXJRE01P,Unscanned-Device,1
BR-ADMIEXJRE01P,Unscanned-Device,3
BR-ADMIEXJRE01P,Unscanned-Device,65
BR-ADMIEXJRE01P,Unscanned-Device,1
BR-ADMIEXJRE01P,Unscanned-Device,11891
BR-ADMIEXJRE01P,Unscanned-Device,37
BR-ADMIEXJRE01P,Unscanned-Device,6
BR-ADMIEXJRE01P,Unscanned-Device,1
BR-ADMIEXJRE01P,Unscanned-Device,44583
BR-ADMIEXJRE01P,Unscanned-Device,5
BR-ADMIEXJRE01P,Unscanned-Device,30
BR-ADMIEXJRE01P,Unscanned-Device,2
BR-ADMIEXJRE01P,Unscanned-Device,6
BR-ADMIEXJRE01P,Unscanned-Device,16
BR-ADMIEXJRE01P,Unscanned-Device,76
BR-ADMIEXJRE01P,Unscanned-Device,2
BR-ADMIEXJRE01P,Unscanned-Device,1
BR-ADMIEXJRE01P,Unscanned-Device,1
BR-ADMIEXJRE01P,Unscanned-Device,9376
BR-ADMIEXJRE01P,Unscanned-Device,38
BR-ADMIEXJRE02,Unscanned-Device,112
BR-ADMIEXJRE02,Unscanned-Device,519
BR-ADMIEXJRE02,Unscanned-Device,6538
BR-ADMIEXJRE02,Unscanned-Device,2
BR-ADMIEXJRE02,Unscanned-Device,52850
BR-ADMIEXJRE02,Unscanned-Device,478
BR-ADMIEXJRE02,Unscanned-Device,1
BR-ADMIEXJRE02,Unscanned-Device,2
BR-ADMIEXJRE02,Unscanned-Device,73
BR-ADMIEXJRE02,Unscanned-Device,680
BR-ADMIEXJRE02,Unscanned-Device,5807
BR-ADMIEXJRE02,Unscanned-Device,6
BR-ADMIEXJRE02,Unscanned-Device,10
BR-ADMIEXJRE02,Unscanned-Device,13
BR-ADMIEXJRE02,Unscanned-Device,1
BR-ADMIEXJRE02,Unscanned-Device,2
BR-ADMIEXJRE02,Unscanned-Device,36
BR-ADMIEXJRE02,Unscanned-Device,2
BR-ADMIEXJRE02,Unscanned-Device,4
BR-ADMIEXJRE02,Unscanned-Device,2
BR-ADMIEXJRE02,Unscanned-Device,1
BR-ADMIEXJRE02,Unscanned-Device,4
